epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,727.852,1.21865,0.75833,1.27425,0.78587,0.77778,0.74975,0.35029,1.82059,0.97914,1.94538,0.0012344,0.0012344,0.0012344
60,742.375,1.28089,0.85096,1.27002,0.77045,0.74596,0.69487,0.34156,1.75191,1.05068,1.92682,0.0012212,0.0012212,0.0012212
61,755.759,1.21007,0.75997,1.24293,0.7119,0.68655,0.61215,0.30127,1.76548,1.09815,1.92483,0.001208,0.001208,0.001208
62,773.884,1.25691,0.80366,1.3168,0.77991,0.75,0.71902,0.33096,1.76548,1.16165,1.80254,0.0011948,0.0011948,0.0011948
63,787.34,1.16718,0.73444,1.20677,0.74069,0.80556,0.78148,0.34547,1.76501,1.18516,1.71062,0.0011816,0.0011816,0.0011816
64,801.564,1.17184,0.75993,1.22204,0.8214,0.69444,0.77066,0.36976,1.69213,1.03868,1.75428,0.0011684,0.0011684,0.0011684
65,815.801,1.13163,0.76243,1.1917,0.8532,0.72222,0.77485,0.35575,1.75351,1.14884,1.77023,0.0011552,0.0011552,0.0011552
66,830.098,1.2133,0.72804,1.29202,0.89385,0.72222,0.81046,0.34659,1.79041,1.07468,1.81056,0.001142,0.001142,0.001142
67,839.782,1.2074,0.77693,1.26134,0.87622,0.78674,0.83189,0.33159,1.84336,1.08552,1.86089,0.0011288,0.0011288,0.0011288
68,854.831,1.10067,0.75678,1.16012,0.78166,0.80556,0.77847,0.35331,1.75377,1.12239,1.81555,0.0011156,0.0011156,0.0011156
69,869.084,1.17387,0.76381,1.20241,0.81928,0.75569,0.70538,0.34345,1.81674,1.11674,2.00645,0.0011024,0.0011024,0.0011024
70,877.966,1.1548,0.75257,1.22794,0.79957,0.72222,0.72512,0.30788,1.85681,1.29722,1.93605,0.0010892,0.0010892,0.0010892
71,891.733,1.10021,0.72461,1.19433,0.85966,0.77778,0.74318,0.32842,1.84284,1.19383,1.86273,0.001076,0.001076,0.001076
72,906.29,1.1895,0.7622,1.24986,0.84239,0.74253,0.7567,0.33846,1.90825,1.28247,1.81154,0.0010628,0.0010628,0.0010628
73,920.549,1.13194,0.75978,1.18932,0.82261,0.69444,0.69315,0.30769,1.88684,1.23578,1.85536,0.0010496,0.0010496,0.0010496
74,934.903,1.0428,0.70659,1.16288,0.77793,0.72222,0.69958,0.34459,1.84478,1.06983,1.92161,0.0010364,0.0010364,0.0010364
75,949.066,1.19561,0.75572,1.24606,0.81623,0.74046,0.76766,0.3625,1.76723,1.03293,1.91761,0.0010232,0.0010232,0.0010232
76,963.471,1.14917,0.72824,1.18262,0.87015,0.74475,0.79182,0.36377,1.81441,1.05262,1.95591,0.00101,0.00101,0.00101
77,971.963,1.14264,0.70037,1.19851,0.71428,0.83333,0.77958,0.36561,1.80162,1.12605,1.94707,0.0009968,0.0009968,0.0009968
